source_system,incident_id,report_date,year,state,system_type,cause_text,type_of_disturbance,customers_affected,fatalities,injuries,property_damage_usd,control_telecom_categories,control_or_telecom_involved
OE-417,OE417-2018-0094,06/29/2018,2018,Minnesota: St. Louis County;,grid,Severe Weather; Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Severe Weather; Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Unknown,,,,not control-system/telecom related,False
OE-417,OE417-2018-0095,06/29/2018,2018,Kentucky:,grid,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more,Unknown,,,,control_center,True
OE-417,OE417-2018-0096,06/30/2018,2018,California: Los Angeles County;,grid,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,0,,,,not control-system/telecom related,False
OE-417,OE417-2018-0097,06/30/2018,2018,"Texas: Travis County, Williamson County;",grid,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more,0,,,,control_center,True
OE-417,OE417-2018-0098,07/04/2018,2018,Colorado: Pueblo County;,grid,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,5058,,,,not control-system/telecom related,False
OE-417,OE417-2018-0099,07/04/2018,2018,Tennessee:,grid,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,0,,,,control_center,True
OE-417,OE417-2018-0100,07/09/2018,2018,"California: Merced County, Kern County; Nevada: Clark County;",grid,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,0,,,,control_center,True
OE-417,OE417-2018-0101,07/11/2018,2018,Tennessee:,grid,Transmission Interruption; Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Transmission Interruption; Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,26195,,,,not control-system/telecom related,False
OE-417,OE417-2018-0102,07/11/2018,2018,California:,grid,Fuel Supply Deficiency; Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency; Fuel supply emergencies that could impact electric power system adequacy or reliability,0,,,,not control-system/telecom related,False
OE-417,OE417-2018-0103,07/14/2018,2018,Ohio:,grid,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Unknown,,,,control_center,True
OE-417,OE417-2018-0104,07/16/2018,2018,California: Merced County;,grid,Fuel Supply Deficiency; Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency; Fuel supply emergencies that could impact electric power system adequacy or reliability,0,,,,not control-system/telecom related,False
OE-417,OE417-2018-0105,07/18/2018,2018,Oregon:,grid,"Severe Weather/Transmission Interruption; Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection.","Severe Weather/Transmission Interruption; Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection.",Unknown,,,,not control-system/telecom related,False
OE-417,OE417-2018-0106,07/18/2018,2018,California: Fresno County;,grid,Fuel Supply Deficiency; Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency; Fuel supply emergencies that could impact electric power system adequacy or reliability,0,,,,not control-system/telecom related,False
OE-417,OE417-2018-0107,07/19/2018,2018,Kentucky:,grid,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Unknown,,,,control_center,True
OE-417,OE417-2018-0108,07/19/2018,2018,Louisiana: Rapides Parish;,grid,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,0,,,,control_center,True
OE-417,OE417-2018-0109,07/20/2018,2018,Maine: Hancock County;,grid,"System Operations; Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.","System Operations; Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",0,,,,not control-system/telecom related,False
OE-417,OE417-2018-0110,07/20/2018,2018,Kentucky:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",87833,,,,not control-system/telecom related,False
OE-417,OE417-2018-0111,07/21/2018,2018,Arkansas:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",64930,,,,not control-system/telecom related,False
OE-417,OE417-2018-0112,07/21/2018,2018,Georgia:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",42901,,,,not control-system/telecom related,False
OE-417,OE417-2018-0113,07/23/2018,2018,Florida: Pinellas County;,grid,"Severe Weather/Transmission Interruption; Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).","Severe Weather/Transmission Interruption; Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown,,,,automation,True
OE-417,OE417-2018-0114,07/26/2018,2018,California: Shasta County;,grid,Natural Disaster; Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Natural Disaster; Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Unknown,,,,not control-system/telecom related,False
OE-417,OE417-2018-0115,07/27/2018,2018,New York: New York County;,grid,"Severe Weather/Transmission Interruption; Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).","Severe Weather/Transmission Interruption; Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",0,,,,automation,True
OE-417,OE417-2018-0116,07/27/2018,2018,Washington: Clark County;,grid,System Operations; Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system,System Operations; Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system,Unknown,,,,not control-system/telecom related,False
OE-417,OE417-2018-0117,07/28/2018,2018,Nevada: Nye County;,grid,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations; Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,0,,,,control_center,True
OE-417,OE417-2018-0118,07/29/2018,2018,California:,grid,"Natural Disaster; Loss of electric service to more than 50,000 customers for 1 hour or more","Natural Disaster; Loss of electric service to more than 50,000 customers for 1 hour or more",57670,,,,not control-system/telecom related,False
OE-417,OE417-2018-0119,07/30/2018,2018,Arizona: Maricopa County;,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",82000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0120,07/31/2018,2018,California: Kern County;,grid,Suspicious Activity; Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity; Damage or destruction of its Facility that results from actual or suspected intentional human action.,Unknown,,,,not control-system/telecom related,False
OE-417,OE417-2018-0121,08/01/2018,2018,Montana:,grid,Vandalism; Physical attack that causes major interruptions or impacts to critical infrastructure or to operations.,Vandalism; Physical attack that causes major interruptions or impacts to critical infrastructure or to operations.,0,,,,not control-system/telecom related,False
OE-417,OE417-2018-0122,08/04/2018,2018,California: Kern County;,grid,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism; Damage or destruction of its Facility that results from actual or suspected intentional human action.,Unknown,,,,not control-system/telecom related,False
OE-417,OE417-2018-0123,08/07/2018,2018,California: Butte County;,grid,Natural Disaster; Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Natural Disaster; Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,485,,,,not control-system/telecom related,False
OE-417,OE417-2018-0124,08/07/2018,2018,California: Butte County;,grid,Natural Disaster; Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Natural Disaster; Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,11383,,,,not control-system/telecom related,False
