Event ID,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Event Type,Alert Criteria,Demand Loss (MW),Number of Customers Affected,Number of Fatalities,Number of Injuries,Estimated Cost,oe417_source_year,oe417_source_sheet
OE417-2011-0160,2011-07-04 00:00:00,18:00:00,2011-07-04 00:00:00,21:00:00,Virginia,SERC,Severe Weather,,150,51580,,,,2011,2011
OE417-2011-0161,2011-07-05 00:00:00,10:40:00,2011-07-05 00:00:00,11:37:00,West Valley Substation Utah,WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0162,2011-07-06 00:00:00,09:51:00,2011-07-06 00:00:00,09:52:00,Vermont,NPCC,Vandalism,,,,,,,2011,2011
OE417-2011-0163,2011-07-08 00:00:00,10:00:00,2011-07-08 00:00:00,10:00:00,"Saginaw, Minnesota",MRO,Vandalism,,0,0,,,,2011,2011
OE417-2011-0164,2011-07-08 00:00:00,10:00:00,2011-07-11 00:00:00,09:00:00,"PJM Corporate Office, Pennsylvania",RFC,Suspected Cyber Attack,,UNK,UNK,,,,2011,2011
OE417-2011-0165,2011-07-11 00:00:00,09:00:00,2011-07-11 00:00:00,09:00:00,Illinois,RFC,Severe Weather,,UNK,500000,,,,2011,2011
OE417-2011-0166,2011-07-11 00:00:00,09:00:00,2011-07-11 00:00:00,10:25:00,Michigan,RFC,Severe Weather,,254,103000,,,,2011,2011
OE417-2011-0167,2011-07-11 00:00:00,11:15:00,2011-07-12 00:00:00,08:15:00,Western and Southern Lower Peninsula Michigan,RFC,Severe Weather,,UNK,85000,,,,2011,2011
OE417-2011-0168,2011-07-11 00:00:00,13:13:00,2011-07-11 00:00:00,13:13:00,Southwest Ohio,RFC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0169,2011-07-11 00:00:00,13:30:00,2011-07-11 00:00:00,13:30:00,Maine,NPCC,Vandalism,,,0,,,,2011,2011
OE417-2011-0170,2011-07-11 00:00:00,14:27:00,2011-07-12 00:00:00,15:50:00,"Indiana, Michigan, Ohio",RFC,Severe Weather,,UNK,120000,,,,2011,2011
OE417-2011-0171,2011-07-12 00:00:00,12:00:00,2011-07-12 00:00:00,12:00:00,Maine,NPCC,Vandalism,,,0,,,,2011,2011
OE417-2011-0172,2011-07-12 00:00:00,20:20:00,2011-07-12 00:00:00,21:30:00,California,WECC,Suspected Physical Attack,,UNK,UNK,,,,2011,2011
OE417-2011-0173,2011-07-13 00:00:00,17:19:00,2011-07-13 00:00:00,22:03:00,"Pueblo, Colorado",WECC,Load Shed,,580,,,,,2011,2011
OE417-2011-0174,2011-07-14 00:00:00,11:00:00,2011-07-14 00:00:00,19:00:00,Texas,TRE,Public Appeal to Reduce Electricity Usage,,0,0,,,,2011,2011
OE417-2011-0175,2011-07-18 00:00:00,17:00:00,2011-07-24 00:00:00,13:30:00,Southeast Michigan,RFC,Severe Weather,,,197166,,,,2011,2011
OE417-2011-0176,2011-07-19 00:00:00,11:45:00,2011-07-19 00:00:00,15:00:00,Maine,NPCC,Vandalism,,,,,,,2011,2011
OE417-2011-0177,2011-07-20 00:00:00,09:10:00,2011-07-20 00:00:00,16:30:00,"Frederickson Substation, Washington",WECC,Vandalism,,,,,,,2011,2011
OE417-2011-0178,2011-07-21 00:00:00,12:32:00,2011-07-22 00:00:00,06:30:00,"Lower Peninsula, Michigan",RFC,Public Appeal to Reduce Electricity Usage,,8881,,,,,2011,2011
OE417-2011-0179,2011-07-21 00:00:00,13:00:00,2011-07-21 00:00:00,15:00:00,"Springfield, Illinois",SERC,Public Appeal to Reduce Electricity Usage,,,,,,,2011,2011
OE417-2011-0180,2011-07-22 00:00:00,11:00:00,2011-07-22 00:00:00,18:00:00,"Upstate, New York",NPCC,Public Appeal to Reduce Electricity Usage,,,,,,,2011,2011
OE417-2011-0181,2011-07-22 00:00:00,11:34:00,2011-07-22 00:00:00,17:26:00,Ohio,RFC,Load Shed,,206,23000,,,,2011,2011
OE417-2011-0182,2011-07-23 00:00:00,02:30:00,2011-07-24 00:00:00,09:00:00,Illinois,RFC,Severe Weather,,UNK,169000,,,,2011,2011
OE417-2011-0183,2011-07-24 00:00:00,14:34:00,2011-07-24 00:00:00,15:47:00,"Southern, New Hampshire",NPCC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0184,2011-07-26 00:00:00,12:01:00,2011-07-26 00:00:00,12:01:00,"Backup Control Center, Oklahoma",SPP,Vandalism,,0,0,,,,2011,2011
OE417-2011-0185,2011-07-27 00:00:00,12:07:00,2011-07-27 00:00:00,12:08:00,"Fife, Washington",WECC,Vandalism,,,,,,,2011,2011
OE417-2011-0186,2011-07-28 00:00:00,07:26:00,2011-07-29 00:00:00,07:26:00,"Daviess County, Kentucky",SERC,Fuel Supply Deficiency (Coal),,,,,,,2011,2011
OE417-2011-0187,2011-07-28 00:00:00,00:14:00,2011-07-29 00:00:00,12:00:00,"Entire ComEd Territory, Indiana",RFC,Severe Weather,,UNK,201000,,,,2011,2011
OE417-2011-0188,2011-07-28 00:00:00,13:32:00,2011-07-28 00:00:00,13:32:00,Indiana  ,RFC,Vandalism,,,,,,,2011,2011
OE417-2011-0189,2011-07-28 00:00:00,19:25:00,2011-07-28 00:00:00,19:25:00,"Spanaway, Washington",WECC,Vandalism,,,,,,,2011,2011
OE417-2011-0190,2011-07-29 00:00:00,11:46:00,2011-07-29 00:00:00,17:00:00,"Fredrickson, Washington",WECC,Vandalism,,,,,,,2011,2011
