,,"OE-417 Electric Emergency and Disturbance (OE-417) Events, 2023",,,,,,,,,
Event Year,Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2023,March,03/29/2023,5:26 AM,03/29/2023,7:23 AM,Nebraska: Kearney County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0
2023,March,03/29/2023,5:37 PM,03/29/2023,7:15 PM,Wisconsin: Michigan:,MRO / RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2023,March,03/30/2023,9:13 AM,03/30/2023,9:15 AM,Washington: Kitsap County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,March,03/30/2023,6:28 PM,03/30/2023,10:13 PM,Colorado: Larimer County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,18,Unknown
2023,March,03/30/2023,9:40 AM,03/30/2023,10:00 AM,Kentucky:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,March,03/30/2023,7:21 PM,Unknown,Unknown,Colorado: Larimer County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,Unknown,Unknown
2023,March,03/30/2023,5:00 AM,03/30/2023,2:20 PM,Pennsylvania: Indiana County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1711,0
2023,March,03/31/2023,6:00 PM,03/31/2023,8:45 PM,Arkansas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,58368
2023,March,03/31/2023,11:00 PM,04/01/2023,4:15 PM,"Minnesota: Ramsey County, Hennepin County, Dakota County, Washington County;",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,80000
2023,March,03/31/2023,8:49 PM,Unknown,Unknown,Illinois:,SERC / RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,65000
2023,April,04/01/2023,2:00 PM,04/03/2023,10:47 AM,Ohio: West Virginia: Virginia:,RF/SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,118000
2023,April,04/03/2023,12:06 PM,04/03/2023,12:54 PM,Alabama: Walker County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack/Vandalism,0,0
2023,April,04/03/2023,6:50 PM,04/03/2023,7:26 PM,Colorado: Wyoming: Nebraska: Arizona: New Mexico: Utah: California:,WECC/MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Transmission Interruption,Unknown,0
2023,April,04/08/2023,4:30 AM,04/08/2023,5:05 AM,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
